"Table									  "	Column name          	Description                             	Datatype   	Length  	isNull	
OBSERVATIONS	O_ASC_NOTES                       	Aust soil classification                                          	VARCHAR  	240	NULL	
OBSERVATIONS	O_UNI_SOIL_CLASS                  	Unified soil classification                                       	VARCHAR  	5	NULL	
OBSERVATIONS	O_SOIL_TAXONOMY                   	Soil taxonomy p226                                                	VARCHAR  	6	NULL	
OBSERVATIONS	O_TAX_UNIT_TYPE                   	Taxonomic unit type                                   	VARCHAR    	3	NULL	
OBSERVATIONS	O_TAX_UNIT_NAME                   	"Taxonomic unit name, free                             "	VARCHAR    	100	NULL	
OBSERVATIONS	O_MAP_UNIT_TYPE                   	Mapping unit type                                     	VARCHAR    	3	NULL	
OBSERVATIONS	O_MAP_UNIT_NAME                   	"Map unit name, free text                              "	VARCHAR    	100	NULL	
OBSERVATIONS	O_NOTES                           	Free text notes                                       	VARCHAR    	240	NULL	
						
OBS_MNG_PRACS	AGENCY_CODE                     	Agency identifier                                       	VARCHAR   	3	NOT NULL	
OBS_MNG_PRACS	PROJ_CODE                       	Project identifier                                      	VARCHAR   	10	NOT NULL	
OBS_MNG_PRACS	S_ID                            	Site identifier                                         	VARCHAR   	10	NOT NULL	
OBS_MNG_PRACS	O_ID                            	Observation identifier                                  	VARCHAR   	2	NOT NULL	
OBS_MNG_PRACS	OMP_NO                          	Observation mngt practice number                        	INTEGER   	       	NOT NULL	
OBS_MNG_PRACS	OMP_DATE                        	Date mngt practice observed ddmmyyyy                    	VARCHAR   	8	NULL	
OBS_MNG_PRACS	OMP_REF                         	Management practice reference e.g. LUMIS Version 1      	VARCHAR   	10	NOT NULL	
OBS_MNG_PRACS	OMP_COVER                       	"Observation mngt practice type, e.g. liming, fertiliser "	VARCHAR   	10	NOT NULL	
						
OFFICERS	AGENCY_CODE                          	Agency identifier                                        	VARCHAR   	3	NOT NULL	
OFFICERS	OFFR_CODE                            	Officer code p13. Code is unique within each state       	VARCHAR   	4	NOT NULL	
OFFICERS	OFFR_NAME                            	Officer name                                             	VARCHAR   	40	NOT NULL	
						
PANS	AGENCY_CODE                              	Agency identifier                                        	VARCHAR   	3	NOT NULL	
PANS	PROJ_CODE                                	Project identifier                                       	VARCHAR   	10	NOT NULL	
PANS	S_ID                                     	Site identifier                                          	VARCHAR   	10	NOT NULL	
PANS	O_ID                                     	Observation identifier                                   	VARCHAR   	2	NOT NULL	
PANS	H_NO                                     	Horizon identifier                                       	INTEGER   	       	NOT NULL	
PANS	PAN_NO                                   	Pan number                                               	INTEGER   	       	NOT NULL	
PANS	PAN_CEMENTATION                          	Pan cementation p192                                     	VARCHAR   	1	NULL	
PANS	PAN_TYPE                                 	Type of pan p192                                         	VARCHAR   	1	NULL	
PANS	PAN_CONTINUITY                           	Continuity of pan p195                                   	VARCHAR   	1	NULL	
PANS	PAN_STRUCTURE                            	Structure of pan p195                                    	VARCHAR   	1	NULL	
						
PATT_GEOMORPHS	AGENCY_CODE                    	"Agency identifier                     										"	VARCHAR   	3	NOT NULL	
PATT_GEOMORPHS	PROJ_CODE                      	"Project identifier                    										"	VARCHAR   	10	NOT NULL	
PATT_GEOMORPHS	S_ID                           	"Site identifier                       										"	VARCHAR   	10	NOT NULL	
PATT_GEOMORPHS	PGM_NO                         	"Pattern geomorphology number          										"	INTEGER   	       	NOT NULL	
PATT_GEOMORPHS	PGM_MODE                       	"Pattern, mode of geomorphological  activity p52     			"	VARCHAR   	2	NULL	
PATT_GEOMORPHS	PGM_AGENT                      	"Pattern geomorphological agent p52    										"	VARCHAR   	2	NULL	
PATT_GEOMORPHS	PGM_STAT                       	"Pattern status of geomorphological activity p54    			"	VARCHAR   	1	NULL	
						
PHS	AGENCY_CODE                               	"Agency identifier                             						"	VARCHAR   	3	NOT NULL	
PHS	PROJ_CODE                                 	"Project identifier                            						"	VARCHAR   	10	NOT NULL	
PHS	S_ID                                      	"Site identifier                               						"	VARCHAR   	10	NOT NULL	
PHS	O_ID                                      	"Observation identifier                        						"	VARCHAR   	2	NOT NULL	
PHS	H_NO                                      	"Horizon identifier                            						"	INTEGER   	       	NOT NULL	
PHS	PH_NO                                     	"pH number                                     						"	INTEGER   	       	NOT NULL	
PHS	PH_VALUE                                  	"Field pH value p198                           						"	FLOAT     	       	NOT NULL	
PHS	PH_DEPTH                                  	"Depth at which pH recorded (m) p198           						"	FLOAT     	       	NULL	
PHS	PH_METHOD                                 	"Field pH method                               						"	VARCHAR   	1	NULL	
						
PORES	AGENCY_CODE                             	"Agency identifier                            						"	VARCHAR   	3	NOT NULL	
PORES	PROJ_CODE                               	"Project identifier                           						"	VARCHAR   	10	NOT NULL	
PORES	S_ID                                    	"Site identifier                              						"	VARCHAR   	10	NOT NULL	
PORES	O_ID                                    	"Observation identifier                       						"	VARCHAR   	2	NOT NULL	
PORES	H_NO                                    	"Horizon identifier                           						"	INTEGER   	       	NOT NULL	
PORES	PORE_NO                                 	"Pore number                                  						"	INTEGER   	       	NOT NULL	
PORES	PORE_ABUN                               	"Abundance of macropores p184                 						"	VARCHAR   	1	NULL	
PORES	PORE_DIAMETER                           	"Diameter of macropores p185                  						"	VARCHAR   	1	NULL	
						
PROJECTS	AGENCY_CODE                          	"Agency identifier                               					"	VARCHAR    	3	NOT NULL	
PROJECTS	PROJ_CODE                            	"Project identifier (unique within each agency)  					"	VARCHAR    	10	NOT NULL	
PROJECTS	PROJ_NAME                            	"Name of project                                 					"	VARCHAR    	240	NOT NULL	
PROJECTS	PROJ_MANAGER_CODE                    	"Officer code p13                                					"	VARCHAR    	4	NULL	
PROJECTS	PROJ_BIBLIO_REF                      	"Bibliographic reference                         					"	VARCHAR    	240	NULL	
PROJECTS	PROJ_START_DATE                      	"Date of commencement of project ddmmyyyy        					"	VARCHAR    	8	NULL	
PROJECTS	PROJ_FINISH_DATE                     	"Date of completion of project ddmmyyyy          					"	VARCHAR    	8	NULL	
						
ROCK_OUTCROPS	AGENCY_CODE                     	Agency identifier                                        	VARCHAR    	3	NOT NULL	
ROCK_OUTCROPS	PROJ_CODE                       	Project identifier                                       	VARCHAR    	10	NOT NULL	
ROCK_OUTCROPS	S_ID                            	Site identifier                                          	VARCHAR    	10	NOT NULL	
ROCK_OUTCROPS	O_ID                            	Observation identifier                                   	VARCHAR    	2	NOT NULL	
ROCK_OUTCROPS	RO_NO                           	Rock outcrop number                                      	INTEGER    	       	NOT NULL	
ROCK_OUTCROPS	"RO_ABUN                   			"	Rock outcrop abundance p143                              	VARCHAR    	1	NULL	
ROCK_OUTCROPS	"RO_LITH                   			"	Rock outcrop lithology p214                              	VARCHAR    	2	NULL	
ROCK_OUTCROPS						
						
ROOTS	AGENCY_CODE                             	"Agency identifier                               					"	VARCHAR    	3	NOT NULL	
ROOTS	PROJ_CODE                               	"Project identifier                              					"	VARCHAR    	10	NOT NULL	
ROOTS	S_ID                                    	"Site identifier                                 					"	VARCHAR    	10	NOT NULL	
ROOTS	O_ID                                    	"Observation identifier                          					"	VARCHAR    	2	NOT NULL	
ROOTS	H_NO                                    	"Horizon identifier                              					"	INTEGER    	        	NOT NULL	
ROOTS	ROOT_NO                                 	"Root number                                     					"	INTEGER    	        	NOT NULL	
ROOTS	"ROOT_ABUN                 					    "	"Root abundance (per 0.01 m2) p199               					"	VARCHAR    	1	NULL	
ROOTS	"ROOT_SIZE                 					    "	"Root size (diameter) p199                       					"	VARCHAR    	1	NULL	
						
SAMPLES	AGENCY_CODE                           	"Agency identifier                               					"	VARCHAR    	3	NOT NULL	
SAMPLES	PROJ_CODE                             	"Project identifier                              					"	VARCHAR    	10	NOT NULL	
SAMPLES	S_ID                                  	"Site identifier                                 					"	VARCHAR    	10	NOT NULL	
SAMPLES	O_ID                                  	"Observation identifier                          					"	VARCHAR    	2	NOT NULL	
SAMPLES	H_NO                                  	"Horizon identifier                              					"	INTEGER    	        	NOT NULL	
SAMPLES	SAMP_NO                               	"Sample number E.g. Hrz 1 = 0-0.4 m Samp 1       					"	INTEGER    	        	NOT NULL	
SAMPLES	SAMP_UPPER_DEPTH                      	"Sample upper depth (m)                          					"	FLOAT      	        	NULL	
SAMPLES	SAMP_LOWER_DEPTH                      	"Sample lower depth (m)                          					"	FLOAT      	        	NULL	
SAMPLES	SAMP_CONTRIB                          	"Number of contributing samples                  					"	INTEGER    	        	NULL	
SAMPLES	SAMP_SIZE                             	"Size of final sample                            					"	VARCHAR    	1	NULL	
SAMPLES	SAMP_NOTES                            	"Free text notes                                 					"	VARCHAR    	240	NULL	
						
SEGREGATIONS	AGENCY_CODE                      	"Agency identifier                 												"	VARCHAR    	3	NOT NULL	
SEGREGATIONS	PROJ_CODE                        	"Project identifier                												"	VARCHAR    	10	NOT NULL	
SEGREGATIONS	S_ID                             	"Site identifier                   												"	VARCHAR    	10	NOT NULL	
SEGREGATIONS	O_ID                             	"Observation identifier            												"	VARCHAR    	2	NOT NULL	
SEGREGATIONS	H_NO                             	"Horizon identifier                												"	INTEGER    	        	NOT NULL	
SEGREGATIONS	SEG_NO                           	"Segregation number                												"	INTEGER    	        	NOT NULL	
SEGREGATIONS	SEG_ABUN                         	"Segregation abundance p196        												"	VARCHAR    	1	NULL	
SEGREGATIONS	SEG_NATURE                       	"Segregation nature p196           												"	VARCHAR    	1	NULL	
SEGREGATIONS	SEG_FORM                         	"Segregation form p196             												"	VARCHAR    	1	NULL	
SEGREGATIONS	SEG_SIZE                         	"Segregation size p197             												"	VARCHAR    	1	NULL	
SEGREGATIONS	SEG_STRENGTH                     	"Segregation strength p197         												"	VARCHAR    	1	NULL	
SEGREGATIONS	SEG_MAGNETIC_ATTR                	"Segregation magnetic attributes   												"	VARCHAR    	1	NULL	
						
SITES	AGENCY_CODE                                   	"Agency identifier                     										"	VARCHAR    	3	NOT NULL	
SITES	"PROJ_CODE               					            "	"Project identifier                    										"	VARCHAR    	10	NOT NULL	
SITES	"S_ID                    					            "	"Site identifier                       										"	VARCHAR    	10	NOT NULL	
SITES	"S_ORIG_TECH_REF         					            "	"Technical reference used              										"	VARCHAR    	1	NULL	
SITES	"S_MAP_SCALE             					            "	"Map scale p9                          										"	VARCHAR    	1	NULL	
SITES	"S_MAP_SHEET_NO          					            "	"Map sheet number                      										"	VARCHAR    	10	NULL	
SITES	"S_MAP_REF_TYPE          					            "	"Map reference type p8                 										"	VARCHAR    	1	NULL	
SITES	"S_PHOTO_FILM_NO         					            "	"Air photo film number p10             										"	VARCHAR    	11	NULL	
SITES	"S_PHOTO_RUN_NO          					            "	"Air photo run number p10              										"	VARCHAR    	3	NULL	
SITES	"S_PHOTO_FRAME_NO        					            "	"Air photo frame number p11            										"	INTEGER    	        	NULL	
SITES	"S_DESC_BY               					            "	"Officer code p13                      										"	VARCHAR    	4	NULL	
SITES	"S_DATE_DESC             					            "	"Date site described p13 ddmmyyyy               					"	VARCHAR    	8	NULL	
SITES	"S_TYPE                  					            "	"Type of site p13                      										"	VARCHAR    	1	NULL	
SITES	"S_RAINFALL              					            "	"Annual rainfall (mm) p13              										"	INTEGER    	        	NULL	
SITES	"S_SLOPE_PF              					            "	"Slope prefix                          										"	VARCHAR    	1	NULL	
SITES	"S_SLOPE                 					            "	"Slope value, % p18                    										"	FLOAT      	        	NULL	
SITES	"S_SLOPE_EVAL            					            "	"Slope, means of evaluation p18        										"	VARCHAR    	1	NULL	
SITES	"S_SLOPE_CLASS           					            "	"Slope class, p18                      										"	VARCHAR    	2	NULL	
SITES	"S_MORPH_TYPE            					            "	"Slope morphological type p19          										"	VARCHAR    	1	NULL	
SITES	"S_ELEM_INC_SLOPE        					            "	"Relative inclination of slope elements         					"	VARCHAR    	1	NULL	
SITES	"S_ELEM_LENGTH           					            "	"Length of landform element (m)        										"	FLOAT      	        	NULL	
SITES	"S_ELEM_WIDTH            					            "	"Width of landform element (m)         										"	FLOAT      	        	NULL	
SITES	"S_ELEM_HEIGHT           					            "	"Height of landform element (m)        										"	FLOAT      	        	NULL	
SITES	"S_ELEM_LOCATION         					            "	"Location within landform element      										"	VARCHAR    	1	NULL	
SITES	"S_ELEM_TYPE             					            "	"Element type p31                      										"	VARCHAR    	3	NULL	
SITES	"S_RELIEF                					            "	"Pattern relief (m) p45                										"	INTEGER    	        	NULL	
SITES	"S_MODAL_SLOPE           					            "	"Modal slope p45                       										"	VARCHAR    	2	NULL	
SITES	"S_RELIEF_CLASS          					            "	"Relief class p48                      										"	VARCHAR    	1	NULL	
SITES	"S_REL_MS_CLASS          					            "	"Relief/modal slope class p47          										"	VARCHAR    	2	NULL	
SITES	"S_STRM_CH_SPACING       					            "	"Stream channel spacing p48            										"	VARCHAR    	2	NULL	
SITES	"S_STRM_CH_DEV           					            "	"Stream channel development p49        										"	VARCHAR    	1	NULL	
SITES	"S_STRM_CH_DTOW          					            "	"Channel depth relative to width       										"	VARCHAR    	1	NULL	
SITES	"S_STRM_CH_MIG           					            "	"Stream channel migration p50          										"	VARCHAR    	1	NULL	
SITES	"S_STRM_CH_PATT          					            "	"Stream-wise channel pattern p50       										"	VARCHAR    	1	NULL	
SITES	"S_STRM_CH_NET_INT       					            "	"Stream channel network                										"	VARCHAR    	1	NULL	
SITES	"S_STRM_CH_DIR_NET       					            "	"Stream channel network directionality p52      					"	VARCHAR    	1	NULL	
SITES	"S_PATT_TYPE             					            "	"Pattern type p55                      										"	VARCHAR    	3	NULL	
SITES	"S_NOTES                 					            "	"Free text notes                       										"	VARCHAR    	240	NULL	
SITES	"S_TRANS_AUTHOR          					            "	"Translation of format author          										"	VARCHAR    	4	NULL	
SITES	"REF_AGENCY_CODE         					            "	"Parent site agency identifier (used for nested sites)  	"	VARCHAR    	3	NULL	
SITES	"REF_PROJ_CODE           					            "	"Parent site project identifier (used for nested sites) 	"	VARCHAR    	10	NULL	
SITES	"REF_S_ID                					            "	"Parent site site identifier (used for nested sites) 			"	VARCHAR    	10	NULL	
						
SITE_ENVELOPE	AGENCY_CODE                           	"Agency identifier                                   			"	VARCHAR    	"3      	"	NOT NULL	
SITE_ENVELOPE	PROJ_CODE                             	"Project identifier                                  			"	VARCHAR    	"10     	"	NOT NULL	
SITE_ENVELOPE	S_ID                                  	"Site identifier                                     			"	VARCHAR    	"10     	"	NOT NULL	
SITE_ENVELOPE	S_ENV_NO                              	"Site envelope number                                			"	"INTEGER            	"	NOT NULL		
SITE_ENVELOPE	S_ENV_CODE                            	Site envelope parameter code (e.g. latitude or longitude of vertices) 	VARCHAR   	10	NOT NULL	
SITE_ENVELOPE	S_ENV_VALUE                           	"Value of site envelope parameter                    			"	VARCHAR    	50	NULL	
						
SITE_ENVELOPE_CODE	AGENCY_CODE                      	"Agency identifier                            						"	VARCHAR    	3	NOT NULL	
SITE_ENVELOPE_CODE	S_ENV_ CODE                      	Site envelope parameter code (e.g. latitude  or longitude of vertices)  	VARCHAR    	10	NOT NULL	
SITE_ENVELOPE_CODE	S_ENV_DESC                       	"Site envelope description                    						"	VARCHAR    	50	NOT NULL	
SITE_ENVELOPE_CODE	S_ENV_UNITS                      	"Site envelope parameter units e.g. m         						"	VARCHAR    	5	NULL	
						
SITE_MNG_PRCS	AGENCY_CODE                         	"Agency identifier                                       		"	VARCHAR    	3	NOT NULL	
SITE_MNG_PRCS	PROJ_CODE                           	"Project identifier                                      		"	VARCHAR    	10	NOT NULL	
SITE_MNG_PRCS	S_ID                                	"Site identifier                                         		"	VARCHAR    	10	NOT NULL	
SITE_MNG_PRCS	LUSE_NO                             	"Land use number                                         		"	INTEGER    	       	NOT NULL	
SITE_MNG_PRCS	SMP_NO                              	"Site mngt practice number                               		"	INTEGER    	       	NOT NULL	
SITE_MNG_PRCS	SMP_DATE                            	"Date mngt practice observed                             		"	VARCHAR    	8	NULL	
SITE_MNG_PRCS	"SMP_REF            					        "	"Management practice reference e.g. LUMIS Version 1      		"	VARCHAR    	10	NULL	
SITE_MNG_PRCS	"SMP_CODE           					        "	"Site mngt practice type, e.g. liming, fertiliser        		"	VARCHAR    	4	NOT NULL	
						
STATES	"STATE_CODE                          				"	"State code p7 Note: new codes                          		"	VARCHAR    	1	NOT NULL	
STATES	"STATE_NAME                          				"	"State name, p7                                         		"	VARCHAR    	3	NOT NULL	
						
STRENGTHS	AGENCY_CODE                             	"Agency identifier                 													"	VARCHAR    	"3      	"	NOT NULL	
STRENGTHS	PROJ_CODE                               	"Project identifier                													"	VARCHAR    	"10     	"	NOT NULL	
STRENGTHS	S_ID                                    	"Site identifier                   													"	VARCHAR    	"10     	"	NOT NULL	
STRENGTHS	O_ID                                    	"Observation identifier            													"	VARCHAR    	"2      	"	NOT NULL	
STRENGTHS	H_NO                                    	"Horizon identifier                													"	INTEGER    	"       	"	NOT NULL	
STRENGTHS	STRG_NO                                 	"Strength number                   													"	INTEGER    	"       	"	NOT NULL	
STRENGTHS	STRG_CLASS                              	"Strength p187                     													"	VARCHAR    	"1      	"	NOT NULL	
STRENGTHS	STRG_MOISTURE_STAT                      	"Moisture status p187              													"	VARCHAR    	"1      	"	NULL	
						
STRUCTURES	AGENCY_CODE                            	"Agency identifier                 													"	VARCHAR    	"3      	"	NOT NULL	
STRUCTURES	PROJ_CODE                              	"Project identifier                													"	VARCHAR    	"10     	"	NOT NULL	
STRUCTURES	S_ID                                   	"Site identifier                   													"	VARCHAR    	"10     	"	NOT NULL	
STRUCTURES	O_ID                                   	"Observation identifier            													"	VARCHAR    	"2      	"	NOT NULL	
STRUCTURES	H_NO                                   	"Horizon identifier                													"	INTEGER    	"       	"	NOT NULL	
STRUCTURES	STR_NO                                 	"Structure number                  													"	INTEGER    	"       	"	NOT NULL	
STRUCTURES	"STR_PED_GRADE             							"	"Grade of pedality p171            													"	VARCHAR    	"1      	"	NULL	
STRUCTURES	"STR_PED_SIZE              							"	"Size of peds p172                 													"	VARCHAR    	"1      	"	NULL	
STRUCTURES	"STR_PED_TYPE              							"	"Type of pedality p173             													"	VARCHAR    	"2      	"	NULL	
STRUCTURES	"STR_COMPOUND_PED          							"	"Compound pedality p180            													"	VARCHAR    	"1      	"	NULL	
STRUCTURES	"STR_CLODS_FRAGS           							"	"Clods and fragments p181          													"	VARCHAR    	"2      	"	NULL	
						
SUB_MINERAL_COMPS	AGENCY_CODE                     	"Agency identifier                 													"	VARCHAR    	"3      	"	NOT NULL	
SUB_MINERAL_COMPS	PROJ_CODE                       	"Project identifier                													"	VARCHAR    	"10     	"	NOT NULL	
SUB_MINERAL_COMPS	S_ID                            	"Site identifier                   													"	VARCHAR    	"10     	"	NOT NULL	
SUB_MINERAL_COMPS	O_ID                            	"Observation identifier            													"	VARCHAR    	"2      	"	NOT NULL	
SUB_MINERAL_COMPS	SB_NO                           	"Substrate number                  													"	INTEGER    	"       	"	NOT NULL	
SUB_MINERAL_COMPS	SB_MINERAL_COMP                 	"Mineral composition p208          													"	VARCHAR    	"1      	"	NOT NULL	
						
SURF_COARSE_FRAGS	AGENCY_CODE                     	"Agency identifier                        									"	VARCHAR   	"3       	"	NOT NULL	
SURF_COARSE_FRAGS	PROJ_CODE                       	"Project identifier                       									"	VARCHAR   	"10      	"	NOT NULL	
SURF_COARSE_FRAGS	S_ID                            	"Site identifier                          									"	VARCHAR   	"10      	"	NOT NULL	
SURF_COARSE_FRAGS	O_ID                            	"Observation identifier                   									"	VARCHAR   	"2       	"	NOT NULL	
SURF_COARSE_FRAGS	SCF_NO                          	"Surface coarse fragment number           									"	INTEGER   	"        	"	NOT NULL	
SURF_COARSE_FRAGS	"SCF_ABUN                				"	"Surface coarse fragment abundance        									"	VARCHAR   	"1       	"	NULL	
SURF_COARSE_FRAGS	"SCF_SIZE                				"	"Surface coarse fragment size p140        									"	VARCHAR   	"1       	"	NULL	
SURF_COARSE_FRAGS	"SCF_SHAPE               				"	"Surface coarse fragment shape p142       									"	VARCHAR   	"2       	"	NULL	
SURF_COARSE_FRAGS	"SCF_LITH                				"	"Surface coarse fragment lithology p214   									"	VARCHAR   	"2       	"	NULL	
SURF_COARSE_FRAGS	"SCF_STRENGTH            				"	"Surface coarse fragment strength p209    									"	VARCHAR   	"2       	"	NULL	
						
SURF_CONDITIONS	AGENCY_CODE                       	"Agency identifier                     											"	VARCHAR   	"3       	"	NOT NULL	
SURF_CONDITIONS	PROJ_CODE                         	"Project identifier                    											"	VARCHAR   	"10      	"	NOT NULL	
SURF_CONDITIONS	S_ID                              	"Site identifier                       											"	VARCHAR   	"10      	"	NOT NULL	
SURF_CONDITIONS	O_ID                              	"Observation identifier                											"	VARCHAR   	"2       	"	NOT NULL	
SURF_CONDITIONS	SCON_NO                           	"Surface condition number              											"	INTEGER   	"        	"	NOT NULL	
SURF_CONDITIONS	SCON_STAT                         	"Condition of surface when dry p189    											"	VARCHAR   	"1       	"	NULL	
						
VEG_SPECIES	AGENCY_CODE                           	"Agency identifier                        									"	VARCHAR   	3	NOT NULL	
VEG_SPECIES	PROJ_CODE                             	"Project identifier                       									"	VARCHAR   	10	NOT NULL	
VEG_SPECIES	S_ID                                  	"Site identifier                          									"	VARCHAR   	10	NOT NULL	
VEG_SPECIES	O_ID                                  	"Observation identifier                   									"	VARCHAR   	2	NOT NULL	
VEG_SPECIES	VSTR_CODE                             	"Stratum, T=tallest, M=mid, L=lower, U=undescribed          "	VARCHAR   	2	NOT NULL	
VEG_SPECIES	VSP_NO                                	"Vegetation species number                									"	INTEGER   	        	NOT NULL	
VEG_SPECIES	VSP_SPECIES                           	"Genus and species                        									"	VARCHAR   	90	NOT NULL	
VEG_SPECIES	VSP_CODE                              	"Vegetation species                       									"	VARCHAR   	8	NULL	
VEG_SPECIES	VSP_ANBG_ID                           	Vegetation species ID used by Australian National Botanic Gardens 	INTEGER           	NULL		
VEG_SPECIES	VSP_ABUN                              	"Vegetation species abundance             									"	VARCHAR   	3	NULL	
						
VEG_STRATA	AGENCY_CODE                            	"Agency identifier                 													"	VARCHAR   	3	NOT NULL	
VEG_STRATA	PROJ_CODE                              	"Project identifier                													"	VARCHAR   	10	NOT NULL	
VEG_STRATA	S_ID                                   	"Site identifier                   													"	VARCHAR   	10	NOT NULL	
VEG_STRATA	O_ID                                   	"Observation identifier            													"	VARCHAR   	2	NOT NULL	
VEG_STRATA	"VSTR_CODE                						  "	"Stratum, T=tallest, M=mid, L=lower, U=undescribed, CM=continuum mid       "	VARCHAR   	2	NOT NULL	
VEG_STRATA	"VSTR_GROWTH_FORM         						  "	"Growth form                       													"	VARCHAR   	1	NULL	
VEG_STRATA	"VSTR_HEIGHT_CLASS        						  "	"Height                            													"	VARCHAR   	1	NULL	
VEG_STRATA	"VSTR_COVER_CLASS         						  "	"Crown and foliage cover class     													"	VARCHAR   	1	NULL	
VEG_STRATA	VSTR_CROWN_COVER                       	"Crown cover percentage            													"	FLOAT     	        	NULL	
